hour_of_day,minute_of_hour,minutes_to_kickoff,is_peak,queue_length,processing_time,capacity_utilization,wait_time,gate_G1,gate_G2,gate_G3
16,9,110.9,0,188,3.95,0.23,1.97,False,True,False
17,43,16.8,0,795,5.34,0.8,13.54,False,False,True
16,40,79.3,1,564,4.28,0.7,7.88,False,True,False
17,49,11.0,0,483,4.9,0.6,8.23,False,True,False
17,31,28.1,0,34,7.74,0.17,2.12,True,False,False
17,44,15.4,0,612,4.13,0.61,8.57,False,False,True
18,30,-30.3,0,31,3.6,0.03,0.29,False,False,True
14,37,202.0,0,0,3.83,0.0,0.0,False,False,True
16,40,79.2,1,631,4.57,0.79,8.89,False,True,False
16,11,108.6,0,13,5.94,0.07,0.62,True,False,False
17,16,43.0,1,810,4.69,0.81,12.57,False,False,True
18,12,-12.5,0,60,3.86,0.07,0.7,False,True,False
17,46,13.8,0,730,5.22,0.73,12.31,False,False,True
15,1,178.7,0,2,3.85,0.0,0.02,False,True,False
17,47,12.2,0,598,4.54,0.75,8.99,False,True,False
18,0,-0.5,0,75,3.81,0.09,0.8,False,True,False
16,17,102.5,0,263,5.39,0.33,4.87,False,True,False
18,43,-43.5,0,0,8.97,0.0,0.0,True,False,False
14,58,181.4,0,3,4.36,0.0,0.03,False,False,True
16,3,117.0,0,232,3.38,0.23,2.37,False,False,True
16,55,64.1,1,41,8.56,0.2,3.0,True,False,False
15,58,121.2,0,159,4.29,0.16,1.73,False,False,True
15,53,126.1,0,119,3.44,0.15,1.23,False,True,False
17,29,30.9,1,1076,5.29,1.0,19.56,False,False,True
15,49,130.5,0,121,4.11,0.12,1.41,False,False,True
16,42,77.8,1,28,9.41,0.14,2.24,True,False,False
18,27,-27.6,0,32,4.63,0.03,0.41,False,False,True
16,4,115.8,0,192,3.55,0.19,1.87,False,False,True
16,30,89.8,1,23,8.83,0.12,1.53,True,False,False
18,12,-12.1,0,69,2.96,0.07,0.62,False,False,True
16,22,97.8,0,421,4.22,0.42,6.42,False,False,True
17,23,36.7,1,1037,4.42,1.0,16.8,False,False,True
15,8,171.7,0,4,3.29,0.01,0.04,False,True,False
17,18,41.8,1,1076,5.39,1.0,20.32,False,False,True
15,34,146.0,0,45,3.84,0.04,0.47,False,False,True
16,48,71.1,1,522,5.48,0.65,10.41,False,True,False
18,44,-44.0,0,7,3.43,0.01,0.06,False,False,True
15,27,152.9,0,24,2.6,0.02,0.18,False,False,True
14,38,201.7,0,0,3.7,0.0,0.0,False,True,False
18,14,-14.3,0,61,4.29,0.08,0.77,False,True,False
15,28,151.2,0,21,4.2,0.03,0.26,False,True,False
14,21,218.6,0,0,4.18,0.0,0.0,False,True,False
17,39,20.6,0,681,4.7,0.68,9.83,False,False,True
18,24,-24.8,0,43,4.28,0.05,0.53,False,True,False
14,37,202.2,0,0,3.28,0.0,0.0,False,False,True
16,10,110.0,0,226,3.78,0.23,2.9,False,False,True
14,45,194.0,0,0,5.0,0.0,0.0,False,True,False
15,30,149.8,0,28,4.33,0.03,0.36,False,False,True
15,37,142.8,0,43,3.99,0.05,0.52,False,True,False
15,39,140.9,0,2,6.41,0.01,0.1,True,False,False
17,20,39.5,1,635,5.53,0.79,11.35,False,True,False
14,14,225.3,0,0,3.57,0.0,0.0,False,False,True
16,9,110.5,0,234,3.7,0.23,3.08,False,False,True
17,5,54.6,1,885,5.53,1.0,16.72,False,True,False
16,49,70.6,1,757,4.38,0.76,12.1,False,False,True
18,41,-41.7,0,0,9.98,0.0,0.0,True,False,False
15,35,144.3,0,52,4.17,0.05,0.62,False,False,True
16,42,77.6,1,473,4.38,0.59,6.62,False,True,False
18,43,-43.5,0,8,3.16,0.01,0.08,False,False,True
18,22,-22.5,0,2,8.78,0.01,0.16,True,False,False
18,52,-52.2,0,3,3.45,0.0,0.03,False,False,True
14,50,189.7,0,1,4.22,0.0,0.01,False,True,False
18,32,-32.6,0,0,7.61,0.0,0.0,True,False,False
14,10,229.9,0,0,4.54,0.0,0.0,False,True,False
15,28,151.6,0,32,4.46,0.03,0.37,False,False,True
14,15,224.3,0,0,4.24,0.0,0.0,False,False,True
17,52,7.5,0,705,4.03,0.7,10.28,False,False,True
16,40,79.6,1,647,5.44,0.81,12.06,False,True,False
17,5,54.3,1,777,4.99,0.97,13.56,False,True,False
18,3,-4.0,0,98,3.8,0.1,0.95,False,False,True
16,52,67.4,1,606,5.69,0.76,10.95,False,True,False
17,2,57.2,1,810,4.81,0.81,12.92,False,False,True
18,2,-2.5,0,69,4.07,0.09,0.85,False,True,False
14,58,181.4,0,3,3.53,0.0,0.03,False,False,True
16,34,85.5,1,435,4.58,0.54,6.72,False,True,False
18,29,-29.4,0,34,3.33,0.03,0.34,False,False,True
17,10,49.7,1,902,4.58,0.9,13.88,False,False,True
15,22,157.3,0,23,4.4,0.02,0.27,False,False,True
18,57,-57.2,0,1,4.05,0.0,0.01,False,False,True
17,31,28.7,0,820,4.87,1.0,13.39,False,True,False
17,15,44.3,1,825,4.97,1.0,13.86,False,True,False
17,37,22.0,0,881,4.11,0.88,11.23,False,False,True
14,18,221.6,0,0,4.51,0.0,0.0,False,True,False
15,51,128.4,0,103,3.67,0.1,1.03,False,False,True
15,8,171.6,0,6,2.49,0.01,0.04,False,False,True
18,26,-26.7,0,30,4.88,0.04,0.41,False,True,False
18,11,-11.9,0,72,3.15,0.09,0.61,False,True,False
14,12,227.9,0,0,6.88,0.0,0.0,True,False,False
17,14,45.1,1,887,5.6,1.0,18.13,False,True,False
18,29,-29.8,0,25,4.45,0.03,0.31,False,True,False
17,48,11.4,0,568,4.51,0.57,9.3,False,False,True
16,47,72.9,1,809,5.15,0.81,13.24,False,False,True
15,48,132.0,0,83,2.89,0.1,0.7,False,True,False
15,22,158.0,0,0,8.26,0.0,0.0,True,False,False
14,30,209.9,0,0,2.68,0.0,0.0,False,True,False
14,19,220.7,0,0,4.6,0.0,0.0,False,True,False
18,26,-27.0,0,34,3.7,0.04,0.32,False,True,False
18,34,-34.6,0,14,4.77,0.02,0.18,False,True,False
17,6,53.7,1,775,5.7,0.97,16.17,False,True,False
17,50,9.7,0,570,4.77,0.57,8.22,False,False,True
17,13,46.3,1,899,5.11,1.0,15.91,False,True,False
15,13,166.1,0,0,8.54,0.0,0.0,True,False,False
15,25,154.9,0,22,4.33,0.02,0.29,False,False,True
14,30,209.7,0,0,4.23,0.0,0.0,False,False,True
18,46,-46.0,0,8,3.04,0.01,0.07,False,False,True
14,7,232.2,0,0,3.25,0.0,0.0,False,False,True
18,53,-53.7,0,2,4.11,0.0,0.03,False,True,False
18,31,-31.6,0,27,3.7,0.03,0.26,False,True,False
16,27,92.2,0,327,4.41,0.41,4.76,False,True,False
16,20,99.3,0,324,4.0,0.32,3.93,False,False,True
15,31,148.1,0,28,4.58,0.04,0.36,False,True,False
14,17,222.0,0,0,9.37,0.0,0.0,True,False,False
17,40,19.1,0,816,5.06,0.82,13.72,False,False,True
15,26,153.1,0,18,3.51,0.02,0.18,False,True,False
17,22,37.9,1,855,5.08,1.0,15.06,False,True,False
17,17,42.1,1,873,5.42,1.0,15.68,False,True,False
18,34,-34.6,0,24,3.5,0.02,0.22,False,False,True
16,16,103.8,0,283,5.16,0.35,4.97,False,True,False
14,27,212.6,0,0,4.09,0.0,0.0,False,True,False
18,22,-22.8,0,44,4.21,0.04,0.5,False,False,True
15,45,134.2,0,62,2.97,0.08,0.55,False,True,False
18,21,-21.8,0,40,3.92,0.05,0.48,False,True,False
18,35,-35.9,0,0,7.62,0.0,0.0,True,False,False
17,28,31.3,1,790,4.81,0.99,11.65,False,True,False
15,22,157.0,0,20,3.87,0.02,0.23,False,False,True
18,39,-39.3,0,12,4.09,0.01,0.13,False,True,False
18,46,-46.8,0,4,4.3,0.01,0.04,False,True,False
18,31,-31.5,0,22,4.93,0.03,0.29,False,True,False
18,12,-12.8,0,92,3.51,0.09,0.9,False,False,True
16,43,76.4,1,30,8.92,0.15,2.42,True,False,False
16,45,74.3,1,612,5.33,0.77,9.83,False,True,False
15,51,128.3,0,95,3.84,0.12,1.05,False,True,False
16,34,85.5,1,715,5.0,0.71,11.73,False,False,True
14,19,220.2,0,0,3.48,0.0,0.0,False,True,False
14,51,188.5,0,0,6.98,0.0,0.0,True,False,False
14,11,228.7,0,0,3.28,0.0,0.0,False,False,True
